,n_sample,dbi,mia,silhouette,batch_fit_time,year,n_clusters
0,25079,7.995361089866373,6.517730337026757,0.08851557224322006,3.6232070922851562,1994,5
1,36302,16.784651943391257,6.9252612469202885,0.3281547382061211,3.707211971282959,1995,5
2,21265,4.4447910158984785,6.700602110732694,0.359249365278129,3.710212230682373,1996,5
3,96500,5.441635287942172,6.52704852717567,0.3578814041236132,4.084233522415161,1997,5
4,176523,6.748737280305898,6.495414017041583,0.3753500357108687,4.022229909896851,1998,5
5,291056,8.45671669730937,6.625132512192081,0.2883610074573561,4.581261873245239,1999,5
6,347826,8.765766992464737,6.645249388012025,0.23639151458839025,4.67126727104187,2000,5
7,206824,5.976238769485252,6.590400264886431,0.39604182211509,4.339248180389404,2001,5
8,227483,4.841440329077302,6.5999260553655175,0.41339908954320753,4.550260066986084,2002,5
9,234674,4.210950881063929,6.587429906879559,0.5367021291831121,4.5952630043029785,2003,5
10,90591,11.686909825924161,6.680460888426117,0.15331057394150202,4.277244329452515,2004,5
11,192485,5.665022141327044,6.788886718672468,0.3325696855433864,4.193239688873291,2005,5
12,140316,3.466039428911382,6.596300076555109,0.4959486315867982,3.9772274494171143,2006,5
13,136101,4.692452979155462,6.705048280908481,0.421910323246177,4.15823769569397,2007,5
14,108688,4.837410345085204,6.843847878679726,0.35492447383800124,3.928224802017212,2008,5
15,64243,5.091412524643047,6.855687893412884,0.34766063941951886,4.1122353076934814,2009,5
16,101086,1.3317919591380871,209.06173530239798,0.9996160297294242,4.174238920211792,2010,5
17,131986,6.751919026532677,6.553082327011,0.27166098304838754,4.212240695953369,2011,5
18,216448,9.807979857111018,6.64776796687174,0.17554641606432148,4.334247827529907,2012,5
19,290281,7.484087622868174,6.560887825190544,0.34441486773336544,4.677267551422119,2013,5
20,159445,12.45263801996486,6.685254325840617,0.1472814231990099,4.212240934371948,2014,5
0,25079,7.947095201740313,6.497554635522298,0.11263150253585674,3.6182069778442383,1994,8
1,36302,19.589186070405482,6.985254586535451,0.19636292699133104,3.7592148780822754,1995,8
2,21265,6.7084749915707365,6.837897702965019,0.2403672925173302,3.5272016525268555,1996,8
3,96500,6.074449789482252,6.472586031142249,0.3731327716811145,3.941225528717041,1997,8
4,176523,7.049228217873266,6.499722515049497,0.28416011723583845,4.212240695953369,1998,8
5,291056,10.276159307564654,6.630590518382398,0.2419920587496622,4.496257066726685,1999,8
6,347826,7.814779324603261,6.499519383866308,0.27054294106641263,4.670267105102539,2000,8
7,206824,8.324428152612935,6.597008153302681,0.3437918766812258,4.210240840911865,2001,8
8,227483,5.012589635186307,6.560248627278305,0.4199288258970635,4.613264083862305,2002,8
9,234674,6.712562454317023,6.541534290862414,0.43143078778017696,4.4902567863464355,2003,8
10,90591,9.421116232204515,6.538574610873013,0.21886013461404485,3.9902281761169434,2004,8
11,192485,5.117072792906816,6.600783597020258,0.36421640539251277,4.523258686065674,2005,8
12,140316,5.377139771232623,6.692231727220951,0.33950060333402093,4.082233428955078,2006,8
13,136101,5.654528241701068,6.945874243785354,0.3567443180256429,4.076233148574829,2007,8
14,108688,5.420570589398139,6.954550610702891,0.2770825802917967,3.949225902557373,2008,8
15,64243,7.464616191287526,7.280192951342082,0.254808037459216,3.822218418121338,2009,8
16,101086,1.7080295804432803,202.42429762894093,0.6329482918129498,4.088233709335327,2010,8
17,131986,10.908796862971087,6.6572994557916525,0.15259037143839085,4.139236927032471,2011,8
18,216448,10.660946182578435,6.613557998281825,0.15806785406369195,4.276244878768921,2012,8
19,290281,8.471833550287817,6.531020106711097,0.21149368048877815,4.750271558761597,2013,8
20,159445,17.1105929148845,6.74468083183723,0.05189459491519792,4.030230522155762,2014,8
0,25079,8.05711300258574,6.5005091769351955,0.0881293646120802,3.479198932647705,1994,11
1,36302,20.877113537754994,6.959890632521414,0.1875126257451946,3.6472084522247314,1995,11
2,21265,6.855282067351533,6.749883042145025,0.24517963169246704,3.6322076320648193,1996,11
3,96500,6.479155487003492,6.538067929749778,0.29128400350724887,3.840219736099243,1997,11
4,176523,7.636960789333309,6.492942485527118,0.26512794111316895,4.139236688613892,1998,11
5,291056,10.564227015540254,6.629470191955487,0.24237101920981194,4.494257211685181,1999,11
6,347826,10.2245079629691,6.57530656764727,0.1864029209955348,4.649266004562378,2000,11
7,206824,7.95065635322749,6.533829179456189,0.32880815385764833,4.207240581512451,2001,11
8,227483,7.8829474830658315,6.7905269382418245,0.29059042035497556,4.333248138427734,2002,11
9,234674,9.990930736211833,6.618254549484758,0.27803886106885317,4.544260025024414,2003,11
10,90591,12.057349110654922,6.561628977577066,0.14975372240872617,3.8432199954986572,2004,11
11,192485,8.118564857039843,6.638711633503684,0.21627315013419088,4.361249208450317,2005,11
12,140316,6.069731296165762,6.635073176946181,0.3387019615011976,4.141236782073975,2006,11
13,136101,7.413833740061094,7.286582740179336,0.1885772955775058,4.055232048034668,2007,11
14,108688,5.9454878025076345,6.8573837524319945,0.224826563037218,4.04323148727417,2008,11
15,64243,9.507588628026381,7.153985313617974,0.19928098925764265,3.6212069988250732,2009,11
16,101086,4.148303702764833,172.6630491533078,0.2897747990541031,4.1342363357543945,2010,11
17,131986,10.83313360136404,6.627891826417023,0.1452640749573714,4.039231061935425,2011,11
18,216448,11.801213097942595,6.674765658400501,0.14942806083025129,4.274244785308838,2012,11
19,290281,8.880056605292546,6.545902473319657,0.19359835830441136,4.632265090942383,2013,11
20,159445,14.191800000293007,6.618484021638126,0.059386428466125324,4.062232494354248,2014,11
