k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,n_clust,cluster_size
0,0.09379710320948567,0.08986812437361359,0.09013376480210751,0.08867086206422245,0.10508998540366418,0.1511802108155541,0.18902001782547465,0.1643738257144231,0.16336681469690803,0.163266171552027,0.15773133083002555,0.1580042604615774,0.15360979360122493,0.15111643275337386,0.1513545622746627,0.1675251368348276,0.18717559256643926,0.23212105897108523,0.2938606626322297,0.28358656434137264,0.22671885413754053,0.16808168327972303,0.12651323571664524,0.10378635433468097,2,85550
1,0.011051517098370366,0.01107381487552969,0.006950146806236729,0.007709929635008452,0.006235218624246302,0.02005712091739319,0.02357449647435776,0.021885277213427787,0.017587968375185645,0.024764654837369116,0.01993631176055516,0.01226199907343286,0.012422920185508775,0.011480117910463754,0.01032257384891946,0.00881553712510295,0.00800587694008425,0.016813661462024083,0.022433841012987333,0.0421077223876676,0.05818058403870148,0.0298293072980482,0.019635261354732817,0.018274630761810056,2,15536
0,0.07238741826444106,0.0700400311869739,0.06861559271162695,0.0703499256666803,0.08857379611686707,0.134759585308218,0.18052035246590048,0.12886479504111314,0.10422869904727776,0.10848159797328477,0.09660434349018655,0.09046108294104864,0.088767870009903,0.0878456611070598,0.08644971493116467,0.09070398673282684,0.11216413257599009,0.20258699407349165,0.3742633342711813,0.41493922875302647,0.31181240109139113,0.18550646495105289,0.11575319885345867,0.08750303299524628,3,28890
1,0.007374070678863058,0.006439234205854924,0.004182005723920905,0.0046601921080356955,0.0037188740758146294,0.013378249447956783,0.0174340970847082,0.014064365382982095,0.013892260812734326,0.02051330756801528,0.019407471647365677,0.017261322561438475,0.013891889959736557,0.016115094193389204,0.018417202566126844,0.015941558158112566,0.012691092592080016,0.01298316616090523,0.006675585661870005,0.009381028937228503,0.0046106204551868485,0.004390534103969095,0.007842522076420371,0.007704185916723262,3,14633
2,0.09918747395795684,0.09548152560494014,0.09572333127759615,0.09506949080752934,0.10982303754266504,0.15363771189088768,0.18891920137795418,0.17991602910516694,0.1856021379163203,0.178060335758061,0.1797367694390553,0.1806194590803461,0.17761817022356047,0.17606716536881603,0.17938769584357409,0.19214672602186092,0.21406154524152332,0.24743714816642035,0.2571232205578523,0.2296851294851015,0.19743083528437638,0.15988268873709807,0.12768512255020847,0.108919011837377,3,57563
0,0.006174655041298724,0.0058857379489128505,0.002443451737669945,0.0034359425435687213,0.006113256809254413,0.0101508288777366,0.012002531087666883,0.007877105941221076,0.0073727560177365365,0.01275007696706084,0.009458791230190486,0.011088104640305798,0.007129612094466451,0.009779955893023462,0.0046048205772645555,0.007786009312136402,0.0027376132548917304,0.010467579191300832,0.00333736835394094,0.0033400295636347253,0.002199721159186824,0.0028903827202373107,0.0045087402953265365,0.004268664827667608,4,14251
1,0.07265073939111748,0.0699499383549035,0.07034091389506592,0.0728930187580848,0.09254280829352773,0.1569739656784034,0.2271576242531069,0.1567483789201994,0.12994093451127436,0.12389491420001648,0.12159142829391728,0.11070911381599116,0.10720144118111656,0.10389077988184159,0.11058485984026348,0.12295138546852075,0.16690747230838446,0.29931467895794106,0.43053100734028166,0.3265422614744612,0.20534850251400033,0.13925688946206394,0.09882435117996749,0.07972471374892039,4,28672
2,0.10314833698647786,0.09907162414802209,0.09798445800548246,0.09870140405123769,0.10761028268923119,0.1368533626645993,0.1661618538797461,0.17466378783819791,0.19303637453156874,0.19471778481074933,0.1945734821479024,0.20149449837773836,0.20080418095796465,0.19949180182219856,0.20179082461708947,0.20532307880327946,0.220169044922723,0.21602856335918064,0.2191445312483754,0.22413956229215853,0.1972241288141331,0.16186986881986293,0.13155615579792057,0.11227565794595283,4,43803
3,0.08881424304547997,0.08232570080047315,0.08457891438520763,0.0804745875427708,0.0945401459066079,0.13988019585340458,0.1649964387018595,0.13008972373182412,0.10816925486304393,0.1045846174250692,0.08124400004323686,0.08238263445388906,0.07849932760413145,0.08348315319661324,0.08008571554727616,0.07726720693323189,0.07967659776068763,0.0989081489912556,0.19219887891847828,0.4196860837652926,0.417756400944317,0.2628990003667533,0.15804639452939606,0.11316785788669118,4,14360
0,0.10446955756638501,0.10032053018339293,0.10090561013387682,0.10104069074773507,0.1151981589794144,0.1505460387941487,0.16912971111582586,0.14406170404253815,0.13937967784451905,0.14072656699900402,0.13306161969828123,0.12887589381311118,0.12325558991738844,0.12312082391990953,0.1242830927397052,0.12995308533253586,0.13578571384881039,0.16556938452936198,0.3119854242422473,0.4116405004516397,0.3153523446905442,0.21949626131266045,0.15214837393470296,0.12083744191338269,5,26757
1,0.09347008019062507,0.09021282689189615,0.0875550202519989,0.0889767325754303,0.09536633102962098,0.11529937431354034,0.14700681441181782,0.17083437471870247,0.20034774548605877,0.21099132100538115,0.21586655483361186,0.2200619456192888,0.22399318503617105,0.2229425006201881,0.22265932800054392,0.2236348497117939,0.21629045080260323,0.19424056723044425,0.20517329772726126,0.2018037537584638,0.17869862123392877,0.1480940426336921,0.1188368433001218,0.10201759911879608,5,30132
2,0.003995008889018898,0.0023580084370208435,0.0017598308897842523,0.0030074219914444883,0.00728224729782296,0.005145202839857102,0.001302204922770402,0.0029797855657920026,0.007027070228311705,0.005101031257483056,0.0027740143572610224,0.0030067297926767178,0.002458718882813125,0.0029496626178845357,0.0034716755932460283,0.003505717187650273,0.0018084169385565163,0.0006938163273716247,0.001366079006989678,0.0020267324850344382,0.003731274652149514,0.008040781472393812,0.007608496612590027,0.006055918462969948,5,13866
3,0.06781701863726963,0.06581619260374025,0.06415327143058017,0.06786504469037365,0.08231860753175599,0.1239175877495197,0.16051014360679453,0.13881384632447472,0.13165831409820455,0.12575547059113729,0.12125358110367832,0.1140698372631957,0.11269818525840537,0.11120799540257859,0.11696049375055324,0.14620587784473987,0.25326666844237483,0.43389227061186314,0.413446092830226,0.23887763437436418,0.1681967288780074,0.1229857734838604,0.089164972622525,0.07522036193555263,5,20249
4,0.08589757672165785,0.08140462558256209,0.08059007593263243,0.08291095969500764,0.11513976815551218,0.24694738978960917,0.4275189959537452,0.2558013946740428,0.15138335788908747,0.11361609330593515,0.10040576087973575,0.09449118164418924,0.08983136519471209,0.08978522543312296,0.09127142207928626,0.1019000531420814,0.11155818924491608,0.13276784759047677,0.19272139296604682,0.21813690923756307,0.22190429030359554,0.16556462488162452,0.10927416317098719,0.08629480785755178,5,10082
0,0.005073908172383081,0.0037034788343880266,0.0032845901368256645,0.004869991785499757,0.009185123900167586,0.00941403576681149,0.015399954858595489,0.008917973845374034,0.007767067915337678,0.00511102991141291,0.002034481561518046,0.0010828700977148832,0.0013124998067165976,0.0028293182547023455,0.003818945320572714,0.004176741667276428,0.0008012836696699251,0.0006823925889622819,0.0011285392224240172,0.001709842472850414,0.0022304540277478155,0.0049073299614768836,0.005266755433812344,0.004715079884258345,6,13975
1,0.1318000578445333,0.1281020198521217,0.12650458683137258,0.1284639222071254,0.1431634610996684,0.19230035270517107,0.23395043749169447,0.20529154963017543,0.19629116296675223,0.18508319276723031,0.1712056954594278,0.16389850117478397,0.16558390182251723,0.17517705140580228,0.18756135503293736,0.19613545205298966,0.19290965972123084,0.19494171816395284,0.22908740640262218,0.2518776315284087,0.22463277198635684,0.19119814335042126,0.1568028632626472,0.13629244382205724,6,28797
2,0.056846832817369033,0.05294974319430747,0.05092311556532371,0.05227124617579143,0.05712100862932795,0.07117566901776831,0.10875855625460022,0.15127023921304308,0.1931773428193779,0.22459174022300032,0.25026056480247066,0.2750368508138849,0.27044886313598304,0.23919752738087327,0.20121509708146842,0.1724985522737287,0.16050394290781875,0.1896620995986842,0.21601858267768886,0.19763274869945172,0.15675933406365855,0.117065049127053,0.08417723435241493,0.06805346428942784,6,14416
3,0.0696230703277316,0.06714738258148586,0.06704512829977222,0.06884968729431434,0.08582856866904483,0.137299396960823,0.19208286953579004,0.1396367417833529,0.11984802251410838,0.11915284757990668,0.11253947114433285,0.10448397264766293,0.10115884742221169,0.10217185225782216,0.10127626288543616,0.10538347351422989,0.11461542671368069,0.23024232939523598,0.5220301946420665,0.39035370330638647,0.21433853127845756,0.1401672732870679,0.09479212684921517,0.07663349684081928,6,16759
4,0.0695910386978748,0.0673964007907616,0.065783790733891,0.06957291979792732,0.0857001288014917,0.1252616680202292,0.1651891030969074,0.14335581437289366,0.13913074858066077,0.12778339789878917,0.12091778486242412,0.11366937565525742,0.1132973672139667,0.11865428087076776,0.13789279882722583,0.19758230785194159,0.35408489982409574,0.45630342827740167,0.28366637655231447,0.20201530205220128,0.1634743262199214,0.12426579455803823,0.09176196291420038,0.07736021832801963,6,15438
5,0.08002309296007017,0.07369423974622598,0.07502489463209769,0.07505363357246982,0.08985530101545634,0.1382427214023773,0.17919776974001442,0.12689632885188595,0.10414230927783891,0.09771266389799876,0.08851658536606785,0.0835813376150312,0.07956074106432567,0.07895731733249284,0.07991945124193796,0.08314841972358245,0.08561989901806871,0.10166283539472998,0.18418483255441762,0.42107801363233327,0.4290826253663113,0.2755412782608439,0.16032918617269948,0.11296577793083352,6,11701
0,0.005261643107880539,0.003707710484995853,0.0031788863094195487,0.0047315745073158375,0.00868343949212274,0.008811134975755,0.012623626640208122,0.008025782691797977,0.00620325181994421,0.004400450474078308,0.001452241241803096,0.0009361031118417601,0.0011895529242414045,0.002294275046143292,0.003945813631309822,0.0033710659789857435,0.0005144136848756693,0.0004839329648721705,0.0009303179347231493,0.0014105642411031253,0.001685577140246062,0.0017903583108631598,0.0037677850728796867,0.003769831651203808,7,13845
1,0.1333672648779061,0.1294767058825365,0.12846752236392286,0.12988416834941868,0.14479578798264067,0.19128222196873004,0.23386776519121935,0.20565038867580357,0.19535761031091878,0.1844907138338677,0.17267499477841408,0.1660011297832882,0.16598981206619057,0.1757558182426716,0.18765966466972214,0.1984271329135579,0.19571868222976851,0.1993803279921591,0.23132488928355277,0.24884364208932847,0.22515857232261477,0.19206404392888402,0.15813457848555085,0.13780843684047295,7,27801
