k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,n_clusters,cluster_sizes
0,2.009664202943432,1.9255118718695734,1.8550145152751554,2.202014739560321,2.6771498760811068,4.102375098663541,4.70135283786239,4.115371152298312,3.768665769648002,3.3767105924874916,3.295085993736531,3.1730958231763697,3.1540813550776123,3.1652252241331444,3.147684458224931,3.320540537093563,3.8714540967804165,4.933947583593361,6.527779008372181,6.705368165493009,5.643619981079526,4.54558037218034,3.2569726776596823,2.366134318058592,5,55940
1,6.070588252634979,5.605228752068251,5.5264705964942396,5.9653594763036475,6.759803901469104,9.116666636131459,10.806535928893613,11.316666678324632,11.342156882963929,10.694771235857429,9.969607837546885,9.767647018242215,10.43784905963235,11.095989311619736,11.214705863176219,11.782679730612369,12.097058809587573,14.414705849112641,17.134640437544757,17.0833333323594,14.910130693145048,12.150326759061395,10.123529400420827,7.8133986852576145,5,6984
2,0.4447055981860352,0.42232006187097915,0.41280324117917433,0.43949033998085013,0.5831433951102336,0.8439537785574676,0.9409839086356355,0.8087139154751605,0.774419882736531,0.7617427794525795,0.7337175136338623,0.6993838628721484,0.6909747966072537,0.6767158728378504,0.7256663047809531,0.745969376517473,0.8391145037581438,0.9559098063787328,1.339500413626362,1.3743257320082995,1.1419436492110762,0.7882768213227608,0.5623524570071519,0.4624987718591826,5,138245
3,2.7255191248561683,2.620947175321656,2.410109286028586,2.8214936231166288,3.3255919769664164,4.625591979988042,5.6653005387023345,6.236794160336309,6.970938893240473,6.963570130792174,7.20689407972664,6.638027820876509,7.098046028957272,7.27253683318069,6.851912557871803,6.301639335915337,7.297814213407848,9.198749788323862,10.097003388333915,9.79225864963019,7.718214936493364,5.769120952685246,3.702823315205931,2.7635701209008143,5,22898
4,1.0767007792243062,1.0302796135324164,1.0170897679619981,1.0972774059342456,1.3972857675314945,2.048024946636005,2.3561532516741748,2.076563648240331,2.140526118986951,2.117390459350378,2.0406672667870973,2.0628550375303822,2.1974011637808473,2.0994778882955214,2.149708530175308,2.1641638224537783,2.5166031169240393,3.2283584018831575,3.5253813198525212,3.2875150482278874,2.5976958283425624,1.8742190082225125,1.3850357846823995,1.1614689908160287,5,124367
0,0.38008701047514726,0.3691097677883554,0.3677345700220844,0.3681726861991976,0.4626171312817288,0.7228915621258487,0.8302208791216372,0.663639401281528,0.644009366794832,0.6814865478942028,0.6590178855592259,0.6233296782027458,0.6236947752620122,0.5778447081991928,0.6711999474587939,0.6534988402299565,0.6920281093258417,0.7454947024865433,1.1357642648772435,1.1569277061351455,0.9814591655118696,0.6691888714130088,0.48734939258814935,0.39690093208762656,8,115645
1,2.877536229789256,2.6012077269364817,2.3026570002435918,3.024396129483401,3.4714975697100883,5.772705310595712,7.007729449007965,6.750483080960701,6.133333325143093,5.422463764657001,5.266425130114967,4.5705314131750585,4.646618362732124,4.599209485434856,4.1661835724154965,4.6217391290814405,6.049275370179743,8.264975861065846,9.236473423127393,10.137198056827708,9.284782603581027,8.394927531615766,5.204106279635343,3.237681162008197,8,17854
2,0.9732546753755276,0.929845735539403,0.9019114631512355,0.9681757154676495,1.2061703512301425,1.7334674663671823,2.0157350119869744,1.7902262034376764,1.8190364363706777,1.6809121352963343,1.7140857234706688,1.7206572726568556,1.7996311190378942,1.8293305260030637,1.7277461285618803,1.7690335929471674,2.039622582036849,2.766757107024475,3.3275318553791164,3.063655872718132,2.3807420242893738,1.7723498521331225,1.31274312055007,1.0706725150227963,8,126185
3,1.4848484768710957,1.7075757540273242,1.48585857663567,1.5777777687580599,2.039898969327109,2.457575740932364,2.414141415496066,3.9974747367692416,5.211570253775303,6.126262642480809,7.6737373796376325,5.576262626740517,5.751515151932836,6.898484825805733,5.951515143041056,4.455555557000516,5.745454544032163,6.864646446016251,7.903764890104915,6.376767677603045,5.681818160933978,4.130230869460868,2.1722222179776494,1.5676767617050145,8,14289
4,5.072807044673123,4.283333336607667,4.2000000048101995,5.552631592410698,6.274561371262136,7.762280682493982,7.6166666534386165,7.698245603885305,7.2008772133931265,9.278070166576327,7.300000014927303,8.22631577618028,8.798963309784064,9.315789466102917,11.103508737787864,12.117543801861375,12.393859666036931,14.087719263084102,14.995613967705717,17.799999996235492,13.11842100073894,8.678947323443074,7.052631573261399,5.449122791260219,8,6541
